gene_symbol	D_meta	logFC_d	padj_d	logFC_v	padj_v
CD177	57.115034789437146	4.19769659828581	5.78411677922347e-09	7.968301576	3.83551771742862e-14
HP	41.628105472503435	3.57399300457619	4.6956570252899696e-11	5.033668641	1.76440081425819e-10
OLFM4	16.853921521419217	3.48263849156785	3.63659397625964e-06	4.094065273	0.000247526
ZDHHC19	25.28567354614065	3.15203338968636	8.250627379343921e-09	5.125794817	1.26348105149387e-05
ARG1	38.65244154050928	3.12921672865632	2.1109866678319102e-09	5.477644751	5.788696365517151e-10
GPR84	30.01988440783399	2.90192554253832	2.88981252611672e-12	4.434169838	9.90093583372643e-08
MCEMP1	35.8478576170646	2.81502170050494	7.05857800163443e-12	4.363885283	5.27423307723707e-13
VNN1	32.17277214252497	2.71067281767274	9.34849866646376e-12	3.736928394	1.56855753861843e-12
FCGR1A	30.77127225632266	2.6920676817709	2.48288893866828e-11	3.492860519	3.17751339220297e-12
NAIP	24.979650342373198	2.65745602428972	2.88981252611672e-12	2.434484627	1.40365370612564e-10
MAPK14	23.722077122235373	2.5872339809265	8.61989453232401e-11	2.235246584	8.83167355248346e-12
FCER1A	-30.06328293784842	-2.57317067237257	3.71437487496712e-08	-4.112956335	6.88569680133411e-12
SLC26A8	33.9082041145608	2.56199623685318	2.35426997092553e-14	4.295652593	5.0272920250895696e-11
OPLAH	26.715598271348505	2.54950237865017	1.16211372534995e-11	3.056227661	5.59831622412409e-10
ANXA3	35.467882092230916	2.49417076962213	1.5887698205554e-10	4.702458186	9.78360194865216e-15
CEACAM6	13.174010272349562	2.4836079365317	1.25029126980415e-05	3.108291327	2.76010345013209e-05
CCN3	-8.845213439015822	-2.47819313027083	7.14365855934596e-08	0.18576262	0.805672551
CASP5	12.446224693067034	2.40426543019433	6.83251438961952e-07	2.455455596	7.92891357259914e-05
MMP9	39.54433407936886	2.36380359073425	2.79864173081131e-09	5.890697338	1.65680928772865e-17
IFI27	12.519270951276178	2.32610057320805	0.0060560313521684	5.051605555	0.000116059
TDRD9	25.406294226306557	2.32456148772407	2.33441531811175e-08	3.416853048	1.08770980951428e-10
FCGR1CP	22.884770885762922	2.3186591519682	1.35101080793551e-10	3.366181279	1.08418024860495e-07
C1QB	9.328845441223105	2.30429336565839	7.01536073638426e-06	1.85981424	0.000225773
CCR3	-8.454445503256554	-2.29881402719596	3.99585271565226e-08	0.323921755	0.504902492
DEFA4	8.341126658047061	2.28325347929412	0.0005639025085789	2.755681722	0.000434573
BMX	28.712441383785233	2.26548985470307	1.81079510051329e-07	4.967422046	3.1694320534552e-09
TCN2	16.628181168629283	2.24720154722815	8.61989453232401e-11	2.074677914	3.23203788131524e-06
SLPI	22.6475382552401	2.23404455901178	1.27130539818829e-06	4.119617645	1.58309358922946e-08
COL17A1	18.426392464404625	2.23354187388504	7.0839344126356e-07	3.741132438	6.61792487890848e-07
CACNA1E	26.18225512289161	2.23210029470798	1.29373069418524e-08	5.055118947	1.32593151028348e-07
BPI	15.740148134584166	2.23000377546258	1.66875171460116e-05	3.182631757	2.85850279669396e-07
ELANE	9.464727288323532	2.22278801695063	0.0002176960705136	2.803613883	0.000141793
LTF	20.769983963237195	2.20083633472509	0.0001195227964376	3.711477129	1.2604960013135e-09
CDK5RAP2	11.225206006919151	2.1899190812483	9.3607240139064e-12	0.466894037	0.043362228
MPO	10.922805297745882	2.18442565299115	5.6112966766707e-05	2.531350676	1.09222993099554e-05
HLA-A	2.204342901479997	-2.14928602525362	0.0622283791448808	0.981121338	7.31053167116595e-08
SLC1A3	17.6304300452798	2.13438253844024	9.14194739380223e-09	3.139650895	1.7019586872046e-06
OTOF	4.085000668478024	2.11658722333584	0.0108416897158877	2.223678416	0.015710185
FOLR3	21.7050969908494	2.11384025056559	1.52486736236154e-09	3.249852604	2.27698643700746e-08
ANKRD22	19.793640964058163	2.10384546189638	7.66519146963666e-06	4.145296006	1.11151480846062e-07
CEACAM8	11.30266594003173	2.0704596498097	0.0010951453077681	3.290028803	9.82278541710879e-06
KREMEN1	35.288482146199286	2.02987833316084	7.23239723309624e-10	5.214006359	1.53605356417154e-13
SOCS3	23.53502629395183	2.0190074883314	3.54090123247529e-09	3.00320779	5.93412423646766e-16
TLR5	21.505069908936633	1.99928112352825	2.88981252611672e-12	2.591623597	1.18535627541488e-09
LILRA6	21.26378100964005	1.98647536923641	7.876715889894789e-11	2.324172137	8.00718018322334e-12
PPARG	21.566424090141652	1.9765272534402	3.20239522743986e-07	3.395504493	1.09526500172884e-09
DEFA1	10.036348740713121	1.97365294040961	7.65610458370252e-06	3.400514957	0.001165384
DEFA3	10.212483884185117	1.97365294040961	7.65610458370252e-06	2.830515827	0.000224528
TRIM6	16.601831504177536	1.96747767807385	1.43430410185487e-06	2.97444517	5.0267845199134e-08
S100A12	28.58104754851789	1.93926664714723	1.52432590745937e-08	4.226076185	1.4733536451434397e-11
MGAM2	29.16407713541952	1.92470918977198	8.25649475984047e-08	5.455109312	6.30574648355525e-09
IFITM3	23.772170387202294	1.92087486386221	1.16562219192235e-08	3.231340055	7.72079903712321e-14
INSL3	16.409996065948683	1.91904781106963	1.16211372534995e-11	2.005128048	1.43440619655553e-07
MGAM	26.606513386273814	1.91080828410699	1.19402442504429e-07	4.006252259	4.54306843111875e-12
CD160	-18.853525878554375	-1.90508293582936	3.34084518258019e-07	-2.573562084	3.87334641725397e-11
H2AC21	8.326950530974262	1.90444286117739	1.39251340811927e-08	1.702583773	0.100603577
CTSG	4.4153082983745655	1.89362206072174	0.002373652835739	1.835973145	0.007892587
SLC16A6	12.601898432752602	1.87280892238001	3.11219859605868e-10	1.002289623	2.45416140241557e-08
PLIN4	21.154684619438036	1.87182757385385	2.14442868442492e-07	3.922483681	2.47805752238769e-08
ALPL	36.293183077526386	1.86487780611252	1.06216639174909e-09	5.647895017	2.5379177649894598e-11
OLIG2	-3.6734192218391897	-1.86065917319245	7.51786919219051e-05	0.737207423	0.360849379
CR1	19.20768282789379	1.85259936498114	5.67490241547981e-07	2.687641326	2.80751759275151e-12
HDC	-13.051194907132935	-1.85251073910693	0.0005024195523838	-3.086423778	3.33248442347427e-07
CYP1B1	15.077366661105462	1.85195199509262	2.14442868442492e-07	2.256005269	1.27151422465392e-08
GPER1	6.360708164847315	1.83977856333764	4.38639364894876e-05	1.61117802	0.001203603
S1PR5	-10.47860973425366	-1.82371204208075	3.6208516393237e-06	-1.918405506	1.77126189538035e-06
FGFBP2	-7.601708594641221	-1.81456139748247	6.95469302987886e-06	-1.613543595	0.000238723
C3AR1	16.71179656160536	1.81257779118578	8.40476392807112e-10	2.215768516	1.9838810070836e-08
TNFRSF21	-16.003827439519778	-1.81257110242717	2.17702040199841e-07	-2.066486791	1.26173577691085e-10
HEMGN	-3.8957496598383297	-1.81255397733905	5.24345243676242e-05	-0.19432762	0.67575863
AIM2	15.974993575377669	1.81008802295019	1.91969162462494e-11	2.068052966	1.72308802444576e-07
RETN	9.274497982626414	1.80677085724326	6.1119835960154e-05	2.906572099	0.000172835
DYSF	24.75167032847912	1.80644578073455	5.4458352862627793e-11	3.178007543	8.33433032777758e-15
TGM2	-3.1134984377285733	-1.80492622622131	6.04745185354771e-05	0.983731892	0.038914493
LIMK2	19.789861817804514	1.78332724966206	2.16157159282984e-10	2.668782732	3.1923264231127903e-09
CLEC5A	14.230050993229355	1.77511536684194	2.47382996755368e-07	2.337681263	6.94188388518216e-08
FFAR3	14.080566900883726	1.76605092171616	0.0001586258100523	4.116755978	6.15722599276779e-06
PPP2R2B	-11.249942439070402	-1.76468110756726	9.39020315007997e-07	-1.584768676	3.25549112407035e-08
NLRC4	19.07921172803775	1.76425148341496	9.30020974824939e-09	2.423794568	2.5718858350076897e-11
SLC22A4	20.914521389534407	1.75572880212849	5.58691582181263e-10	2.83452659	7.51150239791402e-10
IL1R1	18.542662045870305	1.75515524139131	0.0003742312654126	3.295075131	2.72030242277426e-10
COL7A1	10.49688769971207	1.75483648019186	1.900487665911e-06	1.687119322	3.21400542764621e-07
IL5RA	-8.121827244415066	-1.74183109951463	8.63113119587694e-07	-1.517467277	0.000180302
CACNA2D3	-17.77811296389115	-1.74114716585512	1.21819548324273e-05	-2.73005383	2.88782268684148e-11
FCRL6	-9.108419950657494	-1.73660276454678	1.73538893542613e-05	-1.827668704	3.59857562925484e-06
CHI3L1	-1.212183926155829	-1.73522179523983	4.98635502316679e-05	1.871502011	0.002025249
GYG1	21.9601847323794	1.73324085774914	1.35517110630766e-10	2.723956133	5.76117454756218e-13
ADGRG3	25.86722182144664	1.73172826828177	1.461762659527e-07	4.003201944	7.98977429153323e-12
GALNT14	19.420977726868184	1.70724178382891	3.70288081290082e-06	4.4044201	1.93310768690453e-07
CLC	-3.290312287309773	-1.70006560095662	0.0001344900510358	0.035249011	0.945644421
ODAD4	-1.9255055716277076	-1.68927151836874	0.0002558083138506	1.027060905	0.006940922
HPSE	13.637565871351892	1.68667364481226	1.57722073920832e-09	1.563478613	1.04126961988241e-08
IL18R1	12.819750824070484	1.68299962275414	1.19158094470094e-05	2.548440335	1.55097282483407e-07
TMT1B	19.90744497087105	1.68158190304249	0.001294780927501	6.188997378	2.24614960223995e-06
LONRF3	6.384565368628046	1.68112270178757	1.58136785883214e-05	1.010888653	2.25155556501385e-05
UPB1	9.223164112336955	1.68070031528648	1.879280549277e-06	2.122198299	6.96108225563279e-05
SLC2A14	12.124891175560068	1.67937111960642	3.62163398589067e-07	3.325834019	9.14143607322122e-05
SIGLEC5	19.729308942387284	1.67920826639669	4.10780252038715e-08	2.896725609	3.56476022985499e-10
