Herb_ChineseName	Pinyin name	Pharmacopoeial Latin name	Botanical source	Botanical authority	Standardized botanical name source	Material category	Botanical/source note	type	Nature, Flavor and Toxicity	Meridian Tropism	Traditional Actions	Traditional Indications
艾叶	Ai Ye	Artemisiae Argyi Folium	Artemisia argyi	H.Lév. & Vaniot	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried leaf; ChP 2020 Vol.1, Page 12	phytomedicine	辛、苦，温；有小毒	归肝、脾、肾经	温经止血，散寒止痛；外用祛湿止痒	用于吐血，衄血，崩漏，月经过多，胎漏下血，少腹冷痛，经寒不调，宫冷不孕；外治皮肤瘙痒。醋艾炭温经止血，用于虚寒性出血
白芷	Bai Zhi	Angelicae Dahuricae Radix	Angelica dahurica	(Fisch. ex Hoffm.) Benth. & Hook.f. ex Franch. & Sav.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part is the dried root. Legally sourced variant in Chinese Pharmacopoeia includes Angelica dahurica (Fisch. ex Hoffm.) Benth. & Hook.f. ex Franch. & Sav. var. formosana (Boiss.) H.T.Chang & C.Huang, whose dried root is also eligible for medicinal use.	phytomedicine	辛，温	归胃、大肠、肺经	解表散寒，祛风止痛，宣通鼻窍，燥湿止带，消肿排脓	用于感冒头痛，眉棱骨痛，鼻塞流涕，鼻鼽，鼻渊，牙痛，带下，疮疡肿痛
百部	Bai Bu	Stemonae Radix	Stemona sessilifolia; Stemona japonica; Stemona tuberosa	(Miq.) Miq.; (Blume) Miq.; Lour.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part is the dried tuberous root. All three listed species are legally acceptable original plants in Chinese Pharmacopoeia.	phytomedicine	甘、苦，微温	归肺经	润肺下气止咳，杀虫灭虱	用于新久咳嗽，肺痨咳嗽，顿咳；外用于头虱，体虱，蛲虫病，阴痒。蜜百部润肺止咳，用于阴虚劳嗽
柏子仁	Bai Zi Ren	Platycladi Semen	Platycladus orientalis	(L.) Franco	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe seed kernel; ChP 2020 Vol.1, Page 35	phytomedicine	甘，平	归心、肾、大肠经	养心安神，润肠通便，止汗	用于阴血不足，虚烦失眠，心悸怔忡，肠燥便秘，阴虚盗汗
败酱草	Bai Jiang Cao	Patriniae Herba	Patrinia scabiosifolia	Fisch. ex Trevir.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried whole herb; ChP 2020 Vol.1, Page 38	phytomedicine	辛、苦，凉	归肝、胃、大肠经	清热解毒，排脓破瘀	治肠痈，下痢，赤白带下，产后瘀滞腹痛，目赤肿痛，痈肿疥癣
板蓝根	Ban Lan Gen	Isatidis Radix	Isatis indigotica	Fort	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root; ChP 2020 Vol.1, Page 40	phytomedicine	苦，寒	归心、胃经	清热解毒，凉血利咽	用于温疫时毒，发热咽痛，温毒发斑，痄腮，烂喉丹痧，大头瘟疫，丹毒，痈肿
半夏	Ban Xia	Pinelliae Rhizoma	Pinellia ternata	(Thunb.) Breit.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Toxic medicinal material; Medicinal part: dried tuber; ChP 2020 Vol.1, Page 42	phytomedicine	辛、温；有毒	归脾、胃、肺经	燥湿化痰，降逆止呕，消痞散结	用于湿痰寒痰，咳喘痰多，痰饮眩悸，风痰眩晕，痰厥头痛，呕吐反胃，胸脘痞闷，梅核气；外治痈肿痰核
北沙参	Bei Sha Shen	Glehniae Radix	Glehnia littoralis	Fr. Schmidt ex Miq	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root; ChP 2020 Vol.1, Page 45	phytomedicine	甘、微苦，微寒	归肺、胃经	养阴清肺，益胃生津	用于肺热燥咳，劳嗽痰血，胃阴不足，热病津伤，咽干口渴
荜茇	Bi Ba	Piperis Longi Fructus	Piper longum	L	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried spike; ChP 2020 Vol.1, Page 50	phytomedicine	辛，热	归胃、大肠经	温中散寒，下气止痛	用于脘腹冷痛，呕吐，泄泻，寒凝气滞，胸痹心痛，头痛，牙痛
萹蓄	Bian Xu	Polygoni Avicularis Herba	Polygonum aviculare	L.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried aerial part; ChP 2020 Vol.1, Page 52	phytomedicine	苦，微寒	归膀胱经	利尿通淋，杀虫，止痒	用于热淋涩痛，小便短赤，虫积腹痛，皮肤湿疹，阴痒带下
槟榔	Bing Lang	Arecae Semen	Areca catechu	L	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 55	phytomedicine	苦、辛，温	归胃、大肠经	杀虫，消积，行气，利水，截疟	用于绦虫病，蛔虫病，姜片虫病，虫积腹痛，积滞泻痢，里急后重，水肿脚气，疟疾
薄荷	Bo He	Menthae Haplocalycis Herba	Mentha haplocalyx	Briq	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried aerial part; ChP 2020 Vol.1, Page 58	phytomedicine	辛，凉	归肺、肝经	疏散风热，清利头目，利咽，透疹，疏肝行气	用于风热感冒，风温初起，头痛，目赤，喉痹，口疮，风疹，麻疹，胸胁胀闷
补骨脂	Bu Gu Zhi	Psoraleae Fructus	Cullen corylifolium	(L.) Medik.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 62	phytomedicine	辛、苦，温	归肾、脾经	温肾助阳，纳气平喘，温脾止泻；外用消风祛斑	用于肾阳不足，阳痿遗精，遗尿尿频，腰膝冷痛，肾虚作喘，五更泄泻；外用治白癜风，斑秃
苍耳子	Cang Er Zi	Xanthii Fructus	Xanthium sibiricum	Patr	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 65	phytomedicine	辛、苦，温；有毒	归肺经	散风寒，通鼻窍，祛风湿	用于风寒头痛，鼻塞流涕，鼻鼽，鼻渊，风疹瘙痒，湿痹拘挛
苍术	Cang Zhu	Atractylodis Rhizoma	Atractylodes lancea	(Thunb.) DC.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 68	phytomedicine	辛、苦，温	归脾、胃、肝经	燥湿健脾，祛风散寒，明目	用于湿阻中焦，脘腹胀满，泄泻，水肿，脚气痿躄，风湿痹痛，风寒感冒，夜盲，眼目昏涩
蝉蜕	Chan Tui	Cicadae Periostracum	Cryptotympana pustulata	Fabricius	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	animal-derived medicine	Animal-derived medicine; Medicinal part: nymph exuviae; ChP 2020 Vol.1, Page 70	Animal Medicines	甘，寒	归肺、肝经	疏散风热，利咽，透疹，明目退翳，解痉	用于风热感冒，咽痛音哑，麻疹不透，风疹瘙痒，目赤翳障，惊风抽搐，破伤风
