subset	x	y	n	spearman_rho	spearman_p	pearson_r	pearson_p
all_genes	P_diffusion	D_meta	10245	0.134873983581515	8.52853316270399e-43	0.0557910029216776	1.59755894969809e-08
all_genes	P_diffusion	abs_D_meta	10245	0.106751510678676	2.35522077937523e-27	0.0866554480526235	1.54269136245652e-18
all_genes	P_diffusion	positive_D	10245	0.149238974678315	4.18919806131107e-52	0.0828666365665534	4.42734429268178e-17
all_genes	P_diffusion	negative_D_abs	10245	-0.0986972115790513	1.33462753664508e-23	0.0163842787184195	0.0972597310066706
CAP_up	P_diffusion	D_meta	2796	0.132662717668952	1.88350422363075e-12	0.102794782390591	5.10806842511517e-08
CAP_up	P_diffusion	abs_D_meta	2796	0.132662717668952	1.88350422363075e-12	0.102794782390591	5.10806842511517e-08
CAP_up	P_diffusion	positive_D	2796	0.132662717668952	1.88350422363075e-12	0.102794782390591	5.10806842511517e-08
CAP_down	P_diffusion	D_meta	2398	-0.0643669018505783	0.0016125104173198	-0.0880853451727243	1.56288232906638e-05
CAP_down	P_diffusion	abs_D_meta	2398	0.0643669018505783	0.0016125104173198	0.0880853451727243	1.56288232906638e-05
CAP_down	P_diffusion	negative_D_abs	2398	0.0643669018505783	0.0016125104173198	0.0880853451727243	1.56288232906638e-05
