library	input_set	Term	Adjusted.P.value	P.value	Odds.Ratio	Combined.Score	Genes
KEGG_2021_Human	CAP_up	Neutrophil extracellular trap formation	4.31071516536154e-27	1.36848100487668e-29	5.87214153683654	390.269962593501	H2AX;ITGAM;SIGLEC9;NCF1;NCF2;ITGB3;AQP9;ITGA2B;NCF4;ITGB2;PIK3CD;PIK3CB;MPO;ACTB;ACTG1;FCGR3A;FCGR3B;H2BC21;CASP4;CASP1;RAC2;CTSG;RAC1;H4C4;H4C3;CAMP;H3-3A;H3-3B;H3C8;H2AC8;MAP2K2;CR1;H2AC6;SYK;H2AC7;PRKCB;CYBB;CYBA;GP1BA;H2BC17;H2BC18;H2BC12;H2AJ;H4C15;H4C14;H4C12;HAT1;H2BC11;H4C11;PPIF;TLR8;PADI4;RAF1;TLR4;TLR2;HDAC4;HDAC5;SELPLG;C5AR1;FPR1;FPR2;AGER;MACROH2A1;HDAC7;C5;H3C13;H3C12;PLCG2;MAPK1;FCGR1A;ATG7;ELANE;H3C6;MAPK3;GSDMD;H4C8;H2AZ1;H2BC7;H2BC8;H2BC5;H2BC6;H2BC4;AZU1;MAPK14;NFKB1;MAPK13;SELP;H3-5;FCGR2A;H2AC20;H2AC21
KEGG_2021_Human	CAP_up	Salmonella infection	1.11773621661967e-25	7.09673788329954e-28	4.62266195961848	288.975299297477	FHOD1;ACTB;ACTG1;PYCARD;KIF5B;TNFSF10;KPNA4;MAP2K3;VPS18;MAP2K4;MAP2K2;TUBA4A;DYNC1LI1;DYNC1LI2;ELMO2;PFN1;RAF1;MYL9;NAIP;ARL8B;RAB5B;RAB5C;LY96;TXN;KLC1;MYL12A;MYL12B;KLC3;NLRP3;NCKAP1L;RIPK1;CD14;FADD;GSDMD;JUN;MLKL;ARPC4;ARPC5;NFKB1;NFKBIA;ARPC2;PLEKHM1;PLEKHM2;TAB3;TAB2;RAB5A;MYD88;TUBA8;ARF1;ARPC1B;ARPC1A;PIK3CD;PIK3CB;PIK3CG;TUBA1C;ACTR1A;TUBA1B;TUBA1A;CASP5;CASP3;CASP4;CASP1;IKBKG;RAC1;ACTR3;ACTR2;HSP90AA1;RIPK3;CHUK;DYNLT1;IL18;RHOG;FOS;RHOA;TIRAP;RHOB;DNM2;TNFRSF1A;IL1B;TLR6;TLR5;TLR4;GAPDH;BIRC2;RAB7A;TLR2;DCTN2;ROCK2;DCTN4;NLRC4;STX10;CDC42;PAK1;CYTH4;MAPK1;BAK1;RILP;MAPK3;TUBB4B;MAPK14;MAPK13;SNX18;ABI1;CTNNB1;ACTR10
KEGG_2021_Human	CAP_up	Shigellosis	4.30492193572923e-23	4.09992565307546e-25	4.33366529815861	243.3511611398	UBE2D3;ACTB;CRKL;ACTG1;PYCARD;TBK1;CAPNS1;CAPN1;GABARAPL2;GABARAPL1;IL1R1;ACTN1;PRKCD;ACTN4;RRAGA;RRAGC;RRAGD;ELMO2;RBCK1;PFN1;TLN1;MYL9;SQSTM1;NAIP;PPID;PXN;BCL10;FOXO4;GABARAP;MYL12A;MYL12B;UBC;PLCG2;NLRP3;RIPK1;CD14;H3C6;JUN;CBX3;ARPC4;ARPC5;NFKB1;NFKBIA;ARPC2;MDM2;TAB3;TAB2;MYD88;NFKBIB;GSK3B;ARF1;GSK3A;CALCOCO2;ARPC1B;ARPC1A;CGAS;ILK;PIK3CD;PIK3CB;HK2;HK1;HK3;CASP4;CASP1;IKBKG;RAC1;H3-3A;H3-3B;ACTR3;H3C8;ACTR2;CHUK;IL18;WIPI1;WIPI2;RHOA;TNFRSF1A;IL1B;HCLS1;ARHGEF2;TLR5;TLR4;CRK;BECN1;ROCK1;ROCK2;U2AF1;NLRC4;CDC42;CYTH4;H3C13;H3C12;TIFA;MAPK1;MAPK3;MAPK14;MAPK13;H3-5;TNIP1;PLCD3
KEGG_2021_Human	CAP_up	Endocytosis	1.21668222633528e-21	1.5449933032829e-23	4.09084167593622	214.869158187697	WASHC4;WIPF2;WASHC2C;IGF1R;WASHC2A;KIF5B;SH3GL1;SH3GLB1;USP8;IST1;HLA-B;HLA-C;HLA-A;HLA-E;RNF41;ACAP2;ZFYVE16;RAB31;HGS;RAB35;CHMP4C;CHMP4B;AMPH;VPS25;STAM2;RAB5B;RAB5C;TSG101;PLD1;SNX3;RAB11FIP1;GRK2;CLTCL1;GRK6;PIP5K1A;PIP5K1B;SNX6;IQSEC1;CAV2;CAV1;VTA1;HSPA6;ARPC4;SNF8;ARPC5;IGF2R;EHD1;SPART;ARPC2;CHMP2B;CHMP2A;MDM2;RAB5A;ARF3;ARF4;ARF1;ARPC1B;ARPC1A;CLTC;ARRB2;CAPZB;CHMP1B;CHMP1A;RAB8A;ACTR3;ACTR2;ARAP3;ARAP1;VPS37B;ARFGAP3;RHOA;EPN1;DNM2;CHMP3;ARF5;RAB7A;CHMP5;VPS4B;ASAP1;CBL;CDC42;CYTH4;CXCR1;CXCR2;EPS15;LDLR;GIT2;HSPA1L;RAB11A;PML;RAB10;CAPZA1;NEDD4;CAPZA2;FOLR3;SMAP2;HSPA1B;SPG21;HSPA1A
KEGG_2021_Human	CAP_up	Viral carcinogenesis	9.11898217058906e-21	1.44745748739509e-22	4.5399158481766	228.299036476132	RB1;YWHAE;CDKN1A;YWHAB;GTF2B;PIK3CD;PIK3CB;RBPJ;CDC20;CCND3;CASP3;H2BC21;CHEK1;EP300;IKBKG;RAC1;H4C4;PRKACA;H4C3;JAK3;YWHAG;YWHAH;SYK;ACTN1;HLA-B;HLA-C;ACTN4;HLA-A;H2BC17;YWHAZ;RHOA;H2BC18;HLA-E;CCNA2;H2BC12;PKM;CCNE2;H4C15;H4C14;H4C12;MAPKAPK2;H2BC11;H4C11;IRF7;TBPL1;ATP6V0D1;IRF9;CREB5;HDAC4;HDAC5;SP100;SRF;PXN;UBR4;HDAC7;CDC42;MAPK1;BAK1;MAPK3;H4C8;LYN;STAT5A;STAT5B;CREBBP;JUN;CDKN2B;H2BC7;GSN;H2BC8;H2BC5;H2BC6;BAD;H2BC4;STAT3;EIF2AK2;NFKB1;NFKB2;NFKBIA;HNRNPK;PSMC1;CDK1;MDM2;GRB2;KRAS;LTBR
KEGG_2021_Human	CAP_up	NOD-like receptor signaling pathway	1.09110176966524e-18	2.07828908507664e-20	4.55015406162465	206.213695809556	YWHAE;TNFAIP3;CXCL1;ANTXR2;CXCL3;PYCARD;PSTPIP1;TBK1;CASP5;NAMPT;CASP4;CASP1;IKBKG;CAMP;CTSB;IFNAR2;GABARAPL2;GABARAPL1;HSP90AA1;CHUK;RIPK3;PRKCD;IL18;CYBB;CYBA;TYK2;TICAM1;RHOA;AIM2;OAS1;IL1B;OAS3;IRF7;CARD16;RBCK1;TLR4;NAIP;BIRC2;IRF9;IFNAR1;RNASEL;NLRX1;TXN;NLRC4;NOD2;MEFV;TANK;GABARAP;TRPM2;IFI16;NLRP3;MAPK1;MFN2;RIPK1;FADD;GBP2;GBP1;MAPK3;GSDMD;JUN;DEFA4;CARD8;CARD6;DEFA3;DEFA1;MAPK14;NFKB1;MAPK13;NFKBIA;NLRP12;TRIP6;TAB3;TAB2;MCU;MYD88;NFKBIB
KEGG_2021_Human	CAP_up	Kaposi sarcoma-associated herpesvirus infection	1.09453527535055e-18	2.43230061189012e-20	4.35887750292182	196.859393149756	RB1;GSK3B;CDKN1A;PIK3CD;CXCL1;CALML4;PIK3CB;CXCL3;FGF2;PIK3CG;ICAM1;CASP9;PREX1;ZFP36;TBK1;CASP3;EP300;IKBKG;RAC1;JAK2;IFNAR2;ATG3;GABARAPL2;MAP2K4;GABARAPL1;MAP2K2;SYK;CHUK;IFNGR1;HLA-B;HLA-C;HLA-A;FOS;TYK2;TICAM1;HLA-E;TNFRSF1A;HCK;MAPKAPK2;IRF7;RAF1;IRF9;IFNAR1;BECN1;PTGS2;HIF1A;GABARAP;PIK3R5;GNG10;PPP3R1;GNG5;UBC;PLCG2;E2F1;E2F2;MAPK1;E2F3;FADD;BAK1;BID;MICB;MAPK3;CCR1;LYN;CREBBP;JUN;STAT3;EIF2AK2;MAPK14;NFKB1;MAPK13;NFKBIA;CLEC2B;GNB2;GNB1;GNB4;CTNNB1;FAS;KRAS
KEGG_2021_Human	CAP_up	Yersinia infection	5.27460093530467e-18	1.33958118991864e-19	5.33613196072032	231.891004593247	GSK3B;WIPF2;ARPC1B;ARPC1A;PIK3CD;PIK3CB;ACTB;ACTG1;CRKL;PYCARD;TBK1;RPS6KA1;CASP1;RAC2;IKBKG;RAC1;MAP2K3;ACTR3;IL10;VAV3;MAP2K4;ACTR2;MAP2K2;CHUK;IL18;RHOG;FOS;TICAM1;RHOA;VAV1;IL1B;ELMO2;CRK;TLR4;SKAP2;ROCK1;ROCK2;PXN;WAS;NLRC4;MEFV;CDC42;NLRP3;PIP5K1A;MAPK1;PTK2B;PIP5K1B;MAPK3;GIT2;JUN;FYB1;LIMK1;ARPC4;ARPC5;MAPK14;NFKB1;MAPK13;NFKBIA;FCGR2A;ARPC2;GNAQ;TAB2;MYD88
KEGG_2021_Human	CAP_up	Fc gamma R-mediated phagocytosis	8.90670946546485e-18	2.54477413298995e-19	6.93005464480874	296.710808471642	NCF1;ARPC1B;ARPC1A;INPPL1;PIK3CD;PIK3CB;CRKL;FCGR3A;FCGR3B;CFL1;RAC2;RAC1;ACTR3;VAV3;ACTR2;SYK;PRKCB;SPHK1;PRKCD;GAB2;VAV1;DNM2;HCK;AMPH;PLPP3;RAF1;PLPP2;CRK;WAS;ASAP1;PLD1;CDC42;PAK1;INPP5D;PLCG2;PIP5K1A;MAPK1;PIP5K1B;FCGR1A;MAPK3;LYN;VASP;GSN;MYO10;LIMK2;LIMK1;ARPC4;ARPC5;MARCKS;FCGR2A;ARPC2
KEGG_2021_Human	CAP_up	Epstein-Barr virus infection	2.03383338033519e-17	6.45661390582601e-19	4.03780772073455	169.11958601827	RB1;CDKN1A;PIK3CD;TNFAIP3;PIK3CB;RBPJ;ICAM1;CASP9;PSMD6;CCND3;TBK1;PSMD4;PSMD2;CASP3;PSMD1;IKBKG;RAC1;B2M;JAK3;IFNAR2;MAP2K3;MAP2K4;ENTPD1;SYK;APAF1;CHUK;HLA-B;HLA-C;TAP1;HLA-A;TYK2;HLA-E;SAP30;TAPBP;CCNA2;CCNE2;OAS1;OAS3;BTK;IRF7;IRF9;TLR2;IFNAR1;PSMD12;PSMD13;RELB;BCL2L11;SAP30L;PLCG2;E2F1;E2F2;RIPK1;E2F3;FADD;CD58;BAK1;BID;LYN;JUN;GADD45B;GADD45A;STAT3;ADRM1;EIF2AK2;ISG15;MAPK14;NFKB1;GADD45G;NFKB2;MAPK13;NFKBIA;NEDD4;PSMC1;MDM2;FAS;TAB2;VIM;MYD88;NFKBIB
