Syndrome	Test n	Positive labels	Negative labels	AUROC	AUPRC	Precision (0.50)	Recall (0.50)	F1 (0.50)	Accuracy (0.50)
Wind-heat invading the lung	34	21.0	13.0	0.8608058608058607	0.9092208323098048	0.85	0.8095238095238095	0.8292682926829268	0.7941176470588235
Tanre Yongfei (phlegm-heat obstructing the lung)	34	14.0	20.0	0.85	0.717664874807732	0.5384615384615384	1.0	0.7	0.6470588235294118
Phlegm-dampness obstructing the lung	34	21.0	13.0	0.8424908424908425	0.9212151216352897	0.85	0.8095238095238095	0.8292682926829268	0.7941176470588235
Macro average	34	56.0	46.0	0.8510989010989011	0.8493669429176087	0.7461538461538462	0.873015873015873	0.7861788617886178	0.7450980392156863
Overall multi-label metric	Value								
Label ranking average precision (LRAP)	0.8897058823529411								
Label ranking loss	0.1764705882352941								
Micro F1 (threshold 0.50)	0.7868852459016393								
Hamming loss (threshold 0.50)	0.2549019607843137								
Exact-match subset accuracy (threshold 0.50)	0.3823529411764706								
