Gene_Symbol	D_CAP	P_perturb	comp_score
ABCB1	-13.9837964542254	0.00309202392101176	24.405826014811
AXL	-15.4726393334795	0.00280991420904029	24.3298937426653
NR3C2	-12.2869388771696	0.00308576722297979	21.4933271653304
EPHX2	-13.8442078870946	0.00276626404016169	21.4837926789531
FLT4	-12.6217545714103	0.00284380040934792	20.2329400150754
NT5E	-12.6121609957444	0.00267350446385569	18.9347640564725
RORC	-12.1055838560926	0.00266758230068259	18.1582881397883
PTPRS	-11.6848184411117	0.0026792577380087	17.6321581016964
CYP2E1	-10.0582537384948	0.003038011625797	17.4468281236334
SOAT2	-10.4904727881906	0.0027753315744157	16.5051900808839
ERBB2	-8.85560456458661	0.00283712780479116	14.3736889324847
DPP4	-8.22162102655599	0.00277718751922991	13.0957974206729
KIT	-6.70480170947358	0.00279174041400514	10.8687696844838
CNR2	-6.18543867044125	0.00291886400953665	10.5684226924566
CA5B	-6.81289236536304	0.00246305418719211	9.65428011604183
CA6	-5.49425215111239	0.0026597129572733	8.5799448072257
HKDC1	-4.67786753293958	0.00265471477928132	7.38941481276094
FYN	-4.37533577147901	0.00277899687494063	7.30118581257874
NUAK1	-4.73716258415107	0.00258344318777027	7.26101663967038
BCL2	-4.28360971890568	0.00276734385414714	7.13089882362449
SMAD3	-3.77215236483039	0.0027634308231003	6.353042521119
CYP2J2	-2.98338461009309	0.00335828960717356	6.35164246822954
GPRASP1	-8.30305811676154	0.00137994891233643	6.15911589904434
MAPT	-3.45499613305455	0.00277315460839697	5.89928955259914
ALOX15	-2.78895194658006	0.003283893711067	5.85389563583757
GRM2	-3.22377674304575	0.00291426170270755	5.85104228215717
KMT2A	-3.69682148516322	0.00257959921550914	5.79927871375598
TGM2	-3.11349843772857	0.00261013294441619	5.04908255192406
CDC25B	-2.94705078882181	0.00268814906826382	4.96747512440067
FMO4	-5.56682061570096	0.00158817024752023	4.96036100011268
